symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2016-01-14 00:00:00+00:00,53.11,53.4163,51.57,52.0,52381918,48.5969584778,48.8772305242,47.1878205366,47.5812811306,52381918,0.0,1.0
MSFT,2016-01-15 00:00:00+00:00,50.99,51.97,50.34,51.31,71820697,46.6571062471,47.5538303915,46.062340233,46.949914131,71820697,0.0,1.0
MSFT,2016-01-19 00:00:00+00:00,50.56,51.68,50.06,51.48,43564538,46.2636456531,47.2884732467,45.8061333346,47.1054683193,43564538,0.0,1.0
MSFT,2016-01-20 00:00:00+00:00,50.79,51.38,49.1,49.98,63272993,46.4741013197,47.0139658556,44.9277096829,45.7329313636,63272993,0.0,1.0
MSFT,2016-01-21 00:00:00+00:00,50.48,51.58,50.3,51.0,40191157,46.1904436822,47.196970783,46.0257392475,46.6662564935,40191157,0.0,1.0
MSFT,2016-01-22 00:00:00+00:00,52.29,52.33,51.26,51.41,37555789,47.8466382754,47.8832392609,46.9041628991,47.0414165947,37555789,0.0,1.0
MSFT,2016-01-25 00:00:00+00:00,51.79,52.65,51.65,51.94,34707717,47.3891259568,48.1760471447,47.2610225076,47.5263796524,34707717,0.0,1.0
MSFT,2016-01-26 00:00:00+00:00,52.17,52.44,51.55,51.79,28900820,47.7368353189,47.9838919709,47.1695200439,47.3891259568,28900820,0.0,1.0
MSFT,2016-01-27 00:00:00+00:00,51.22,52.2,51.0201,52.01,36775194,46.8675619136,47.764286058,46.6846484887,47.590431377,36775194,0.0,1.0
MSFT,2016-01-28 00:00:00+00:00,52.055,52.21,51.25,51.86,62513789,47.6316074856,47.7734363044,46.8950126528,47.4531776814,62513789,0.0,1.0
MSFT,2016-01-29 00:00:00+00:00,55.09,55.09,54.0,54.73,83611686,50.4087072593,50.4087072593,49.4113304049,50.07929839,83611686,0.0,1.0
MSFT,2016-02-01 00:00:00+00:00,54.71,55.09,54.495,54.88,44208542,50.0609978972,50.4087072593,49.8642676002,50.2165520855,44208542,0.0,1.0
MSFT,2016-02-02 00:00:00+00:00,53.0,54.26,52.65,54.17,56313753,48.4963057677,49.6492368105,48.1760471447,49.5668845932,56313753,0.0,1.0
MSFT,2016-02-03 00:00:00+00:00,52.16,53.39,51.26,53.25,57559814,47.7276850725,48.8531653762,46.9041628991,48.725061927,57559814,0.0,1.0
MSFT,2016-02-04 00:00:00+00:00,52.0,52.81,51.37,52.1,46987123,47.5812811306,48.3224510867,47.0048156092,47.6727835943,46987123,0.0,1.0
MSFT,2016-02-05 00:00:00+00:00,50.16,52.0,49.56,51.94,62008994,45.8976357983,47.5812811306,45.348621016,47.5263796524,62008994,0.0,1.0
MSFT,2016-02-08 00:00:00+00:00,49.41,49.57,48.19,49.55,59290497,45.2113673204,45.3577712624,44.0950372631,45.3394707696,59290497,0.0,1.0
MSFT,2016-02-09 00:00:00+00:00,49.28,50.24,48.67,49.02,46740474,45.0924141176,45.9708377693,44.534249089,44.854507712,46740474,0.0,1.0
MSFT,2016-02-10 00:00:00+00:00,49.71,50.39,49.52,49.89,38236954,45.4858747116,46.1080914648,45.3120200305,45.6505791463,38236954,0.0,1.0
MSFT,2016-02-11 00:00:00+00:00,49.69,50.11,48.51,48.68,48878571,45.4675742188,45.8518845664,44.387845147,44.5433993353,48878571,0.0,1.0
MSFT,2016-02-12 00:00:00+00:00,50.5,50.68,49.75,50.25,34243324,46.2087441749,46.3734486096,45.5224756971,45.9799880156,34243324,0.0,1.0
MSFT,2016-02-16 00:00:00+00:00,51.09,51.09,50.13,50.9,37291208,47.0780175802,47.0780175802,46.193404214,46.9029378515,37291208,0.36,1.0
MSFT,2016-02-17 00:00:00+00:00,52.42,52.77,51.45,51.49,40788968,48.3035756812,48.626090971,47.4097475925,47.4466064827,40788968,0.0,1.0
MSFT,2016-02-18 00:00:00+00:00,52.19,52.95,52.1,52.33,27176035,48.0916370622,48.7919559771,48.0087045592,48.2206431781,27176035,0.0,1.0
MSFT,2016-02-19 00:00:00+00:00,51.82,52.28,51.53,51.97,33559073,47.7506923274,48.1745695653,47.483465373,47.8889131658,33559073,0.0,1.0
MSFT,2016-02-22 00:00:00+00:00,52.65,53.0,52.28,52.28,25008291,48.5155143002,48.8380295899,48.1745695653,48.1745695653,25008291,0.0,1.0
MSFT,2016-02-23 00:00:00+00:00,51.18,52.37,50.98,52.34,28895274,47.1609500833,48.2575020684,46.976655632,48.2298579007,28895274,0.0,1.0
MSFT,2016-02-24 00:00:00+00:00,51.36,51.5,50.2,50.69,33014457,47.3268150894,47.4558212053,46.257907272,46.7094286776,33014457,0.0,1.0
MSFT,2016-02-25 00:00:00+00:00,52.1,52.1,50.61,51.73,26939467,48.0087045592,48.0087045592,46.6357108971,47.6677598243,26939467,0.0,1.0
MSFT,2016-02-26 00:00:00+00:00,51.3,52.68,51.1,52.6,35975925,47.271526754,48.5431584679,47.0872323027,48.4694406874,35975925,0.0,1.0
MSFT,2016-02-29 00:00:00+00:00,50.88,51.65,50.66,51.35,31654036,46.8845084063,47.5940420438,46.6817845099,47.3176003668,31654036,0.0,1.0
MSFT,2016-03-01 00:00:00+00:00,52.58,52.59,50.9199,50.97,33024535,48.4510112422,48.4602259648,46.9212751494,46.9674409094,33024535,0.0,1.0
